Movie Name,Storyline,story_length,word_count,char_length,clean_story
Dark Night of the Soul,"A brilliant scientist gets trapped in her car after a terrible crash. Isolated, struggling to survive, she holds the key to cure a pandemic ravaging the world.",159,27,159,brilliant scientist gets trapped car terrible crash isolated struggling survive holds key cure pandemic ravaging world
Aanandhapuram Diaries,"Nandini faces divorce and a battle with cancer. Her arranged marriage disrupted her studies. Determined to returns to college, makes friends but unknowingly tied to drug ring.",175,27,175,nandini faces divorce battle cancer arranged marriage disrupted studies determined returns college makes friends unknowingly tied drug ring
Hunter of the Night,"When 5 friends accidentally stumble upon a man with a deranged PROMISE, they start to realize this college get away is a deadly trap. Is a rescue, really a rescue, if the PROMISE isn't kept. Be Frightened.",205,37,205,friends accidentally stumble upon man deranged promise start realize college get away deadly trap rescue really rescue promise isnt kept frightened
Min evige sommer,"Fifteen-year-old Fanny spends the summer with her parents at their vacation home, cherishing time with her terminally ill mother through simple pleasures like swimming and walks, creating final memories before an impending loss.",228,33,228,fifteenyearold fanny spends summer parents vacation home cherishing time terminally ill mother simple pleasures like swimming walks creating final memories impending loss
Do You Want to Die in Indio?,"Follows Salvi, a 17-year-old whose life gets complicated when his dreams are derailed by an enterprising drug dealer, an ethically challenged mentor, and a budding romance.",172,26,172,follows salvi yearold whose life gets complicated dreams derailed enterprising drug dealer ethically challenged mentor budding romance
Apollon by Day Athena by Night,"Defne travels to the ancient Mediterranean city of Side and encounters a revolutionary, a prostitute, a priestess, and other mysterious people. Guided by them, she searches for the mother who has abandoned her.",210,33,210,defne travels ancient mediterranean city side encounters revolutionary prostitute priestess mysterious people guided searches mother abandoned
Saint Catherine,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.,176,30,176,orphaned girl rescued satanic ritual taken saint catherine institute homeless youth learn new skills facing demons stalk
The Golden Ghosts,"In 1852, a lone Black woman trudges along a riverbed watched by two Black men in the trees. They assume she is looking for gold, as they are, but conclude that the important thing is what she and they are fleeing. Slavery.",222,42,222,lone black woman trudges along riverbed watched two black men trees assume looking gold conclude important thing fleeing slavery
King's Gambit,"The inside story of the strongest ever chess open tournament. With unrivaled access to players and performance psychologists, ""King's Gambit"" reveals the tension and what really happens at top professional chess tournaments.",224,32,224,inside story strongest ever chess open tournament unrivaled access players performance psychologists kings gambit reveals tension really happens top professional chess tournaments
Fight Like a Girl,"A young Congolese woman forced to work in an illegal mineral mine, escapes her captors and finds a new life for herself as a professional boxer. Based on true events.",166,30,166,young congolese woman forced work illegal mineral mine escapes captors finds new life professional boxer based true events
Reloaded 2,"In a dystopian future where criminals take over, detective Jimmy Cloud gets a deadly case around a kidnapping carried out by a brutal crime syndicate.",150,25,150,dystopian future criminals take detective jimmy cloud gets deadly case around kidnapping carried brutal crime syndicate
Waspzilla,"Get ready for a buzz-worthy adventure in ""Waspzilla"". Deputy Callahan, a tough-as-nails law enforcement officer, finds herself teamed up with an eager rookie for an outlandish mission.",184,27,184,get ready buzzworthy adventure waspzilla deputy callahan toughasnails law enforcement officer finds teamed eager rookie outlandish mission
Devastated,"In parallel narratives, an Indian policeman opens up about his job executing Muslim men, while Lord Krishna and Prince Arjuna perform a dialogue from the Bhagavad Gita, exploring the moral obligations of warriors.",213,33,213,parallel narratives indian policeman opens job executing muslim men lord krishna prince arjuna perform dialogue bhagavad gita exploring moral obligations warriors
Perumani,Showcases the lives of the people in a village and the challenges they encounter.,81,14,81,showcases lives people village challenges encounter
